wavelength log_flux log_flux_err
1068.5012731399736 -12.933482018168093 0.1927808763547656
1069.5012731399736 -12.85573538243861 0.33396727139842525
1075.5012731399736 -13.048397551337487 0.3370559618945215
1076.5012731399736 -13.185939097771168 0.23861803224080982
1079.5012731399736 -13.368002372309553 0.24037783460898207
1080.5012731399736 -13.24891494464708 0.1524771126453922
1081.5012731399736 -13.34223372838766 0.24197534218640512
1088.5012731399736 -13.73258915299749 0.1494039799602653
1089.5012731399736 -13.563395989405628 0.14973747246136904
1090.5012731399736 -13.525356188932149 0.3520934642931834
1103.5012731399736 -14.201578159287612 0.2599289692610399
1104.5012731399736 -14.134171566776253 0.10210408375322519
1105.5012731399736 -14.227180825835198 0.0937483384637007
1106.5012731399736 -14.123156876620607 0.10902214010635497
1107.5012731399736 -14.179069113401338 0.08987918432057604
1110.5012731399736 -14.261950761280728 0.12797499716996405
1111.5012731399736 -14.345950838186397 0.10170659924830651
1112.5012731399736 -14.251302256369808 0.0837024507799874
1113.5012731399736 -14.198238686089642 0.132624930070452
1114.5012731399736 -14.331988237845929 0.08007581006287022
1115.5012731399736 -14.319754747631753 0.09259979465998266
1116.5012731399736 -14.578670280643905 0.09893204869210799
1117.5012731399736 -14.42570741144023 0.14252274294901715
1119.5012731399736 -14.408162837709089 0.12614076872655772
1120.5012731399736 -14.434257410097903 0.09780661934153849
1121.5012731399736 -14.481165437067704 0.11431462212201055
1125.5012731399736 -14.634207706036268 0.08627913747969132
1126.5012731399736 -14.50296300606254 0.06848192745563789
1140.5012731399736 -14.56993340340081 0.31482252745967326
1141.5012731399736 -14.678613651011217 0.08223568962068763
1142.5012731399736 -14.645018406135737 0.08046216254291949
1143.5012731399736 -14.843574384666905 0.09364806861546164
1144.5012731399736 -14.684619754349885 0.07968514340301988
1145.5012731399736 -14.422852902416269 0.1576737801618258
1146.5012731399736 -14.704534430058159 0.18228093599634232
1147.5012731399736 -14.748358038648341 0.10942686124888085
1148.5012731399736 -14.760332358196758 0.08998410451355371
1149.5012731399736 -14.636862244134887 0.09997845937632086
1150.5012731399736 -14.75573698995502 0.0913136273753003
1151.5012731399736 -14.689158190460079 0.12572443275509762
1152.5012731399736 -14.72540731614945 0.12581380623096033
1153.5012731399736 -14.611663338876136 0.07463450486422639
1154.5012731399736 -14.733079874604917 0.09411702145812362
1155.5012731399736 -14.728173893542738 0.10765624234510263
1159.5012731399736 -14.714205570270995 0.08482587455959603
1160.5012731399736 -14.841002951385427 0.08196297285527945
1161.5012731399736 -14.755294277716278 0.07039600557907012
1162.5012731399736 -14.794704881871693 0.07936852318254237
1163.5012731399736 -14.564292364122537 0.1832378671368589
1164.5012731399736 -14.795487220903286 0.12295892657196139
1165.5012731399736 -14.749515596757929 0.08384057926504347
1166.5012731399736 -14.752917168004267 0.07697691992991747
1167.5012731399736 -14.734166438510707 0.07550762244277238
1168.5012731399736 -14.76636668122516 0.07283600065000921
1169.5012731399736 -14.685480137729488 0.07099803003889793
1170.5012731399736 -14.597135799762714 0.07221411459150272
1171.5012731399736 -14.766962713216197 0.06878588276730942
1172.5012731399736 -14.739512428252018 0.06934348412833558
1173.5012731399736 -14.740691653686184 0.07049647740576027
1178.5012731399736 -14.663720735864256 0.1337903187419837
1179.5012731399736 -14.8222643279261 0.07310670915902898
1180.5012731399736 -14.767237317315749 0.07444618359397233
1181.5012731399736 -14.74436197197602 0.06748492598431552
1182.5012731399736 -14.774202114417472 0.07194927212637586
1183.5012731399736 -14.733379176158065 0.062594709355392
1184.5012731399736 -14.787561880444416 0.06756565167715754
1185.5012731399736 -14.85707489268943 0.06520117598335268
1186.5012731399736 -14.769627334731306 0.07085198207892636
1187.5012731399736 -14.697826826662897 0.06919381169712178
1188.5012731399736 -14.723224977868922 0.10657024819303694
1195.5012731399736 -14.61069164297329 0.06678274028969768
1196.5012731399736 -14.683545575105875 0.06883784957161385
1262.5012731399736 -14.836892714983486 0.09975706592760951
1263.5012731399736 -14.879713262663596 0.08672981199969058
1268.5012731399736 -14.856382463615773 0.10688954897432622
1269.5012731399736 -14.818263057105082 0.07292465758470655
1270.5012731399736 -14.815595168376678 0.06456182154408086
1271.5012731399736 -14.783409610247311 0.07776932974944309
1272.5012731399736 -14.939321830902301 0.08280903381432271
1273.5012731399736 -14.884878684916101 0.0847097145653475
1281.5012731399736 -14.884951034875302 0.11579732261910147
1282.5012731399736 -14.850926712188956 0.07775926369922827
1283.5012731399736 -14.889362837771209 0.08371519281525273
1284.5012731399736 -14.933759530793534 0.08099624167360923
1285.5012731399736 -14.920348407486545 0.07555896803348935
