wavelength		 flux
1.212570748946724507e+03 4.165983036790690577e-14
1.212577204520293435e+03 4.183759483561392609e-14
1.212583659976985018e+03 4.201649412807991152e-14
1.212590115433676374e+03 4.219651991475645538e-14
1.212596570773864187e+03 4.237772750348746620e-14
1.212603026114052000e+03 4.256012603020072559e-14
1.212609481338107798e+03 4.274368166217572186e-14
1.212615936562163597e+03 4.292842023690878886e-14
1.212622391670458001e+03 4.311436000462104260e-14
1.212628846778752859e+03 4.330154329378490468e-14
1.212635301771656714e+03 4.348993610596336712e-14
1.212641756764560569e+03 4.367954000224041288e-14
1.212648211642442448e+03 4.387039326518827696e-14
1.212654666520324554e+03 4.406251513169062717e-14
1.212661121283551893e+03 4.425587212513716066e-14
1.212667576046779459e+03 4.445052732358889646e-14
1.212674030695719466e+03 4.464648075163960197e-14
1.212680485344659246e+03 4.484373074519731397e-14
1.212686939879676402e+03 4.504228812806296746e-14
1.212693394414693557e+03 4.524219209186853347e-14
1.212699848836152114e+03 4.544338798125313297e-14
1.212706303257610671e+03 4.564594394102734423e-14
1.212712757565873517e+03 4.584986166399229686e-14
1.212719211874136590e+03 4.605513917308778235e-14
1.212725666069565250e+03 4.626181143873811164e-14
1.212732120264994137e+03 4.646988098971784723e-14
1.212738574347948543e+03 4.667935315694204631e-14
1.212745028430902948e+03 4.689023533747740714e-14
1.212751482401742578e+03 4.710258054357978944e-14
1.212757936372581753e+03 4.731638785038732370e-14
1.212764390231663810e+03 4.753166590745431930e-14
1.212770844090746095e+03 4.774838481415773614e-14
1.212777297838426421e+03 4.796659661717928612e-14
1.212783751586106973e+03 4.818626989205561569e-14
1.212790205222740951e+03 4.840750787404502112e-14
1.212796658859375384e+03 4.863024870278141583e-14
1.212803112385315899e+03 4.885454738026419890e-14
1.212809565911257323e+03 4.908041031760765571e-14
1.212816019326857258e+03 4.930783050238758800e-14
1.212822472742457421e+03 4.953682215988023255e-14
1.212828926048066478e+03 4.976745214864218593e-14
1.212835379353675762e+03 4.999968010337646267e-14
1.212841832549644096e+03 5.023353819521028085e-14
1.212848285745611975e+03 5.046905487410198821e-14
1.212854738832286102e+03 5.070622368871112349e-14
1.212861191918960230e+03 5.094508957080071804e-14
1.212867644896687125e+03 5.118559159797271509e-14
1.212874097874413565e+03 5.142784702963974872e-14
1.212880550743537015e+03 5.167181961582696331e-14
1.212887003612660465e+03 5.191752572321388731e-14
1.212893456373523804e+03 5.216503315589221644e-14
1.212899909134387599e+03 5.241429616463487696e-14
1.212906361787331889e+03 5.266532963509187101e-14
1.212912814440276406e+03 5.291820098216882054e-14
1.212919266985642935e+03 5.317293315546112572e-14
1.212925719531009008e+03 5.342947419820587714e-14
1.212932171969134743e+03 5.368789815691352423e-14
1.212938624407260704e+03 5.394818203204540329e-14
1.212945076738482840e+03 5.421041223744059922e-14
1.212951529069704748e+03 5.447454539320922272e-14
1.212957981294357751e+03 5.474058060995441966e-14
1.212964433519010754e+03 5.500857777290746931e-14
1.212970885637428410e+03 5.527852471119578170e-14
1.212977337755846520e+03 5.555050257594741488e-14
1.212983789768359884e+03 5.582452334446021202e-14
1.212990241780873930e+03 5.610048857322180976e-14
1.212996693687813604e+03 5.637857453887876018e-14
1.213003145594753505e+03 5.665869674069162871e-14
1.213009597396447361e+03 5.694090045863880502e-14
1.213016049198141900e+03 5.722527753295518273e-14
1.213022500894916675e+03 5.751177204437390136e-14
1.213028952591691450e+03 5.780040175797259663e-14
1.213035404183871378e+03 5.809125027626438761e-14
1.213041855776051079e+03 5.838434717737414346e-14
1.213048307263959487e+03 5.867961598686346093e-14
1.213054758751867439e+03 5.897710600615350191e-14
1.213061210135825149e+03 5.927692709335698528e-14
1.213067661519782632e+03 5.957905312835579486e-14
1.213074112800107969e+03 5.988349375678368950e-14
1.213080564080433533e+03 6.019029112464567593e-14
1.213087015257444818e+03 6.049943796191736231e-14
1.213093466434456104e+03 6.081098984908763360e-14
1.213099917508468479e+03 6.112498169279011899e-14
1.213106368582480854e+03 6.144140319582348111e-14
1.213112819553807412e+03 6.176024104530007334e-14
1.213119270525134425e+03 6.208160825955746457e-14
1.213125721394087577e+03 6.240553392148924818e-14
1.213132172263040957e+03 6.273200182248010041e-14
1.213138623029929477e+03 6.306102423930153954e-14
1.213145073796818451e+03 6.339266560431125254e-14
1.213151524461950657e+03 6.372694850685621155e-14
1.213157975127083546e+03 6.406383968381316130e-14
1.213164425690765256e+03 6.440344322426442168e-14
1.213170876254447194e+03 6.474575485886597073e-14
1.213177326716981952e+03 6.509079804980461187e-14
1.213183777179516710e+03 6.543856116382941826e-14
1.213190227541206013e+03 6.578918936791609666e-14
1.213196677902895090e+03 6.614266003326780131e-14
1.213203128164038617e+03 6.649892271264073450e-14
1.213209578425182599e+03 6.685817808353456862e-14
1.213216028586077755e+03 6.722034175968182213e-14
1.213222478746973366e+03 6.758546144892487140e-14
1.213228928807915963e+03 6.795355697479490986e-14
1.213235378868858561e+03 6.832467280542925379e-14
1.213241828830141458e+03 6.869883222501325416e-14
1.213248278791424582e+03 6.907608755760042229e-14
1.213254728653339498e+03 6.945645851779642911e-14
1.213261178515254414e+03 6.983999864314960835e-14
1.213267628278090569e+03 7.022679572516731380e-14
1.213274078040926497e+03 7.061676105603901492e-14
1.213280527704969472e+03 7.101002350201538566e-14
1.213286977369013130e+03 7.140662231895299645e-14
1.213293426934549188e+03 7.180652690841851165e-14
1.213299876500085475e+03 7.220980899631488875e-14
1.213306325967396560e+03 7.261651833242461565e-14
1.213312775434707191e+03 7.302664535097331429e-14
1.213319224804073201e+03 7.344033885049935638e-14
1.213325674173438983e+03 7.385756075292349257e-14
1.213332123445138222e+03 7.427829679848944242e-14
1.213338572716837234e+03 7.470275139826621291e-14
1.213345021891145279e+03 7.513089464752072920e-14
1.213351471065453097e+03 7.556266765534215941e-14
1.213357920142643252e+03 7.599827562934340349e-14
1.213364369219833179e+03 7.643764754346975535e-14
1.213370818200176245e+03 7.688081023755181964e-14
1.213377267180519311e+03 7.732779319281117055e-14
1.213383716064284727e+03 7.777879329171269162e-14
1.213390164948049915e+03 7.823371466431096244e-14
1.213396613735503479e+03 7.869269970303815598e-14
1.213403062522957271e+03 7.915571775759973128e-14
1.213409511214363192e+03 7.962287084822622877e-14
1.213415959905769114e+03 8.009422227847107995e-14
1.213422408501388645e+03 8.056967134157069474e-14
1.213428857097008859e+03 8.104949420160108665e-14
1.213435305597102115e+03 8.153359011765872199e-14
1.213441754097194917e+03 8.202204912916141153e-14
1.213448202502017239e+03 8.251500595821397598e-14
1.213454650906839788e+03 8.301236255289527428e-14
1.213461099216646744e+03 8.351428672472396441e-14
1.213467547526453473e+03 8.402084373212352767e-14
1.213473995741496083e+03 8.453210999046481036e-14
1.213480443956538465e+03 8.504796173678198282e-14
1.213486892077065932e+03 8.556855643840213035e-14
1.213493340197593625e+03 8.609402953797835079e-14
1.213499788223852647e+03 8.662440472355917944e-14
1.213506236250111442e+03 8.715963506493659424e-14
1.213512684182346902e+03 8.769999925415442525e-14
1.213519132114581453e+03 8.824534643766155232e-14
1.213525579953034139e+03 8.879588482988828022e-14
1.213532027791486826e+03 8.935160803805264950e-14
1.213538475536395936e+03 8.991264680184629616e-14
1.213544923281304818e+03 9.047905967033236632e-14
1.213551370932907048e+03 9.105075900259531117e-14
1.213557818584509050e+03 9.162802038331939081e-14
1.213564266143037457e+03 9.221076842190989182e-14
1.213570713701566092e+03 9.279927774381549962e-14
1.213577161167252598e+03 9.339341915568986899e-14
1.213583608632938649e+03 9.399335300294202937e-14
1.213590056006011309e+03 9.459901773346877349e-14
1.213596503379083515e+03 9.521069795196671969e-14
1.213602950659768567e+03 9.582825888353966766e-14
1.213609397940452709e+03 9.645199108552278033e-14
1.213615845128972069e+03 9.708179326458935012e-14
1.213622292317491429e+03 9.771790650031471818e-14
1.213628739414066558e+03 9.836039895869863274e-14
1.213635186510640779e+03 9.900925383932726672e-14
1.213641633515487911e+03 9.966462421198551909e-14
1.213648080520335498e+03 1.003265380568869610e-13
1.213654527433670410e+03 1.009952025544033075e-13
1.213660974347005094e+03 1.016706004884214276e-13
1.213667421169039471e+03 1.023528895404990975e-13
1.213673867991073848e+03 1.030421882255901926e-13
1.213680314722016647e+03 1.037385884638943223e-13
1.213686761452959900e+03 1.044420744491045970e-13
1.213693208093017347e+03 1.051528288104699582e-13
1.213699654733075249e+03 1.058710117153935654e-13
1.213706101282451073e+03 1.065966417082300062e-13
1.213712547831827351e+03 1.073298564855553187e-13
1.213718994290722094e+03 1.080707774021582281e-13
1.213725440749617064e+03 1.088194407371398745e-13
1.213731887118228542e+03 1.095758664781803673e-13
1.213738333486839792e+03 1.103404540975680398e-13
1.213744779765362637e+03 1.111130542546909993e-13
1.213751226043885026e+03 1.118938860821341506e-13
1.213757672232510458e+03 1.126832321751604215e-13
1.213764118421136118e+03 1.134810291011455591e-13
1.213770564520053313e+03 1.142873051795344527e-13
1.213777010618970735e+03 1.151023628887656588e-13
1.213783456628365457e+03 1.159264132142787043e-13
1.213789902637760406e+03 1.167594356903048710e-13
1.213796348557815918e+03 1.176015687000316778e-13
1.213802794477871657e+03 1.184529621399089618e-13
1.213809240308767585e+03 1.193138247877342520e-13
1.213815686139662830e+03 1.201842758849950725e-13
1.213822131881575842e+03 1.210646261573716202e-13
1.213828577623488400e+03 1.219547437485604739e-13
1.213835023276591983e+03 1.228549726143909900e-13
1.213841468929694884e+03 1.237651611923638133e-13
1.213847914494159795e+03 1.246857868803997549e-13
1.213854360058624707e+03 1.256167970086185402e-13
1.213860805534618066e+03 1.265585383381606797e-13
1.213867251010611653e+03 1.275112368735992920e-13
1.213873696398298080e+03 1.284749305193082853e-13
1.213880141785984506e+03 1.294497518362309241e-13
1.213886587085525434e+03 1.304358571930594616e-13
1.213893032385066590e+03 1.314335570084514502e-13
1.213899477596619590e+03 1.324430976394108212e-13
1.213905922808172363e+03 1.334643475094143890e-13
1.213912367931892959e+03 1.344978203841601613e-13
1.213918813055613327e+03 1.355436091867974876e-13
1.213925258091652495e+03 1.366018001406263815e-13
1.213931703127691435e+03 1.376728899077054503e-13
1.213938148076197876e+03 1.387568026146582678e-13
1.213944593024704545e+03 1.398539979117350520e-13
1.213951037885823098e+03 1.409644056104673402e-13
1.213957482746941878e+03 1.420887035898141240e-13
1.213963927520814877e+03 1.432267208562886676e-13
1.213970372294687877e+03 1.443788387248158823e-13
1.213976816981453794e+03 1.455451354111741144e-13
1.213983261668219484e+03 1.467260034298366411e-13
1.213989706268013379e+03 1.479218600419635461e-13
1.213996150867807273e+03 1.491324219522025238e-13
1.214002595380761022e+03 1.503588632379778139e-13
1.214009039893714771e+03 1.516006455376942664e-13
1.214015484319957068e+03 1.528586926104363206e-13
1.214021928746199592e+03 1.541326928518204525e-13
1.214028373085855492e+03 1.554228922956908838e-13
1.214034817425511392e+03 1.567301163069404104e-13
1.214041261678703449e+03 1.580545255730131175e-13
1.214047705931895052e+03 1.593961243145013476e-13
1.214054150098740593e+03 1.607556910054415632e-13
1.214060594265585905e+03 1.621332765211630676e-13
1.214067038346200661e+03 1.635295974896200908e-13
1.214073482426814962e+03 1.649443228018280810e-13
1.214079926421309438e+03 1.663780741586962210e-13
1.214086370415804367e+03 1.678312948499444973e-13
1.214092814324287247e+03 1.693042901458836742e-13
1.214099258232770580e+03 1.707977902492012567e-13
1.214105702055346001e+03 1.723119392334933469e-13
1.214112145877921421e+03 1.738471115240567912e-13
1.214118589614691246e+03 1.754038809411328683e-13
1.214125033351460615e+03 1.769826076075977445e-13
1.214131477002521478e+03 1.785832017038856218e-13
1.214137920653582569e+03 1.802066026257291804e-13
1.214144364219027921e+03 1.818536650514559634e-13
1.214150807784473500e+03 1.835243048803532123e-13
1.214157251264394745e+03 1.852192105427774960e-13
1.214163694744315990e+03 1.869385682972181407e-13
1.214170138138799530e+03 1.886831906197703534e-13
1.214176581533282842e+03 1.904534523473167469e-13
1.214183024842411214e+03 1.922501081322207814e-13
1.214189468151539359e+03 1.940737688372669030e-13
1.214195911375392370e+03 1.959243216420691737e-13
1.214202354599245382e+03 1.978033642907890743e-13
1.214208797737898749e+03 1.997108694267699915e-13
1.214215240876551889e+03 2.016479157012845282e-13
1.214221683930077234e+03 2.036153015763316813e-13
1.214228126983602351e+03 2.056124455783375597e-13
1.214234569952068568e+03 2.076408279657751388e-13
1.214241012920534558e+03 2.097014716629588805e-13
1.214247455804006222e+03 2.117947105008109301e-13
1.214253898687477658e+03 2.139211516584467610e-13
1.214260341486015477e+03 2.160813947837236795e-13
1.214266784284553296e+03 2.182767187409650349e-13
1.214273226998214568e+03 2.205082643955332887e-13
1.214279669711875385e+03 2.227763223626099789e-13
1.214286112340713089e+03 2.250813825387475719e-13
1.214292554969550793e+03 2.274248724775749638e-13
1.214298997513614722e+03 2.298080838778558307e-13
1.214305440057678652e+03 2.322315639254855945e-13
1.214311882517014510e+03 2.346960624653392931e-13
1.214318324976350596e+03 2.372025369438863224e-13
1.214324767350999991e+03 2.397526387055864816e-13
1.214331209725649614e+03 2.423464552469739324e-13
1.214337652015650747e+03 2.449865112890237950e-13
1.214344094305652106e+03 2.476731871483357707e-13
1.214350536511038854e+03 2.504075547326347005e-13
1.214356978716425829e+03 2.531911584059027980e-13
1.214363420837228659e+03 2.560251080704807135e-13
1.214369862958031490e+03 2.589103238962088984e-13
1.214376304994277007e+03 2.618477179698168534e-13
1.214382747030522523e+03 2.648391373904466500e-13
1.214389188982232099e+03 2.678871386605523183e-13
1.214395630933941447e+03 2.709922799513556134e-13
1.214402072801133954e+03 2.741571600806165070e-13
1.214408514668326234e+03 2.773813445757739347e-13
1.214414956451015769e+03 2.806677290001457343e-13
1.214421398233705531e+03 2.840176654074218639e-13
1.214427839931902781e+03 2.874325313153276947e-13
1.214434281630099804e+03 2.909166512124824639e-13
1.214440723243810453e+03 2.944704548353848042e-13
1.214447164857521102e+03 2.980949426687963526e-13
1.214453606386748106e+03 3.017922821796621751e-13
1.214460047915975110e+03 3.055650590021512722e-13
1.214466489360715968e+03 3.094147138247525565e-13
1.214472930805456599e+03 3.133462197060205674e-13
1.214479372165705627e+03 3.173594714803080958e-13
1.214485813525954654e+03 3.214576179682371406e-13
1.214492254801701620e+03 3.256434782361124618e-13
1.214498696077448813e+03 3.299185292320499131e-13
1.214505137268679846e+03 3.342868831136445837e-13
1.214511578459911107e+03 3.387504616573671648e-13
1.214518019566607563e+03 3.433123010886743895e-13
1.214524460673304247e+03 3.479753149789573705e-13
1.214530901695443617e+03 3.527447881715657012e-13
1.214537342717583442e+03 3.576214020095716292e-13
1.214543783655139578e+03 3.626097634345531101e-13
1.214550224592695258e+03 3.677146070641002018e-13
1.214556665445636781e+03 3.729364004912097928e-13
1.214563106298578532e+03 3.782803968497258120e-13
1.214569547066869518e+03 3.837538610423225879e-13
1.214575987835160959e+03 3.893567824937360552e-13
1.214582428518763209e+03 3.950942282063220960e-13
1.214588869202365458e+03 4.009724277891139773e-13
1.214595309801234407e+03 4.069945392597276062e-13
1.214601750400104038e+03 4.131667874336370916e-13
1.214608190914192392e+03 4.194905995047268258e-13
1.214614631428280745e+03 4.259735257860133992e-13
1.214621071857535753e+03 4.326229963477354600e-13
1.214627512286790761e+03 4.394431156189256194e-13
1.214633952631155807e+03 4.464399840840781503e-13
1.214640392975520854e+03 4.536160694946989746e-13
1.214646833234935002e+03 4.609833332622368228e-13
1.214653273494349150e+03 4.685461742811118608e-13
1.214659713668746463e+03 4.763092345966500520e-13
1.214666153843144230e+03 4.842848787093824244e-13
1.214672593932455811e+03 4.924762432236482653e-13
1.214679034021767393e+03 5.008906879427564931e-13
1.214685474025918438e+03 5.095399288421077598e-13
1.214691914030069483e+03 5.184304013130467053e-13
1.214698353948981094e+03 5.275678753638812426e-13
1.214704793867893159e+03 5.369661948938012657e-13
1.214711233701482570e+03 5.466317856770015545e-13
1.214717673535071526e+03 5.565746490539567835e-13
1.214724113283251427e+03 5.668060702885059951e-13
1.214730553031430873e+03 5.773347471410716898e-13
1.214736992694108721e+03 5.881731175426453704e-13
1.214743432356786116e+03 5.993325250835749034e-13
1.214749871933865052e+03 6.108253588271529694e-13
